state,x,y
Andhra Pradesh,343,657
Arunachal Pradesh,737,248
Assam,660,320
Bihar,450,340
Chhattisgarh,380,480
Goa,150,650
Gujarat,100,425
Haryana,230,245
Himachal Pradesh,250,150
Jharkhand,465,415
Karnataka,175,685
Kerala,190,820
Madhya Pradesh,240,420
Maharashtra,170,540
Manipur,710,360
Meghalaya,620,350
Mizoram,683,407
Nagaland,726,316
Odisha,450,500
Punjab,195,195
Rajasthan,100,300
Sikkim,555,281
Tamil Nadu,277,803
Telangana,275,575
Tripura,630,400
Uttar Pradesh,320,300
Uttarakhand,300,200
West Bengal,530,430
